id_EXIST,Label_YESNO
400319,0
400319,0
400319,0
400307,1
400307,1
400307,1
400307,1
400131,0
400131,0
400131,0
400330,0
400330,0
400267,0
400267,0
400267,0
400331,1
400316,0
400316,0
400316,0
400316,0
400316,0
400124,1
400124,1
400424,1
400424,1
400365,0
400365,0
400365,0
400254,0
400254,0
400198,1
400198,1
400198,1
400246,0
400246,0
400246,0
400091,0
400354,1
400354,1
400354,1
400354,1
400096,1
400096,1
400096,1
400096,1
400224,0
400224,0
400487,1
400487,1
400487,1
400153,0
400153,0
400065,1
400142,0
400142,0
400142,0
400040,1
400040,1
400040,1
400121,0
400121,0
400022,0
400022,0
400022,0
400178,0
400178,0
400178,0
400346,0
400327,0
400327,0
400327,0
400106,0
400106,0
400106,0
400106,0
400320,0
400320,0
400320,0
400376,0
400376,0
400376,0
400376,0
400135,0
400135,0
400135,0
400316,0
400316,0
400316,0
400316,0
400316,0
400244,1
400244,1
400170,1
400170,1
400081,1
400081,1
400081,1
400455,1
400455,1
400455,1
400212,0
400212,0
400006,0
400006,0
400123,0
400123,0
400123,0
400145,0
400145,0
400145,0
400060,0
400060,0
400109,1
400109,1
400097,1
400097,1
400097,1
400213,0
400213,0
400213,0
400300,0
400300,0
400119,1
400409,1
400409,1
400305,1
400305,1
400022,0
400022,0
400022,0
400256,0
400408,0
400408,0
400408,0
400181,1
400181,1
400181,1
400398,0
400398,0
400398,0
400398,0
400122,0
400122,0
400122,0
400122,0
400386,0
400086,0
400086,0
400086,0
400403,1
400403,1
400403,1
400356,1
400356,1
400356,1
400376,0
400376,0
400376,0
400376,0
400382,1
400382,1
400382,1
400070,0
400070,0
400070,0
400070,0
400223,0
400223,0
400260,1
400260,1
400260,1
400260,1
400270,1
400270,1
400227,1
400469,1
400469,1
400469,1
400039,0
400039,0
400039,0
400285,0
400285,0
400285,0
400051,0
400051,0
400051,0
400042,0
400042,0
400042,0
400263,0
400083,0
400083,0
400083,0
400114,1
400114,1
400078,0
400078,0
400078,0
400078,0
400068,1
400068,1
400068,1
400068,1
400068,1
400196,1
400196,1
400196,1
400074,0
400148,0
400148,0
400148,0
400449,1
400449,1
400073,1
400073,1
400073,1
400026,1
400026,1
400276,0
400336,0
400336,0
400336,0
400222,1
400222,1
400222,1
400075,0
400075,0
400078,1
400078,1
400078,1
400078,1
400094,1
400094,1
400094,1
400354,1
400354,1
400354,1
400354,1
400018,1
400018,1
400180,0
400257,0
400257,0
400257,0
400257,0
400257,0
400422,0
400422,0
400422,0
400165,0
400268,1
400268,1
400059,0
400059,0
400059,0
400068,1
400068,1
400068,1
400068,1
400068,1
400408,0
400408,0
400408,0
400133,1
400133,1
400216,0
400216,0
400216,0
400216,0
400334,0
400301,0
400301,0
400301,0
400403,1
400403,1
400403,1
400223,0
400223,0
400067,1
400067,1
400067,1
400325,0
400325,0
400469,1
400469,1
400469,1
400249,1
400249,1
400249,1
400087,0
400094,1
400094,1
400094,1
400015,0
400015,0
400015,0
400015,0
400278,0
400278,0
400278,0
400278,0
400278,0
400092,1
400092,1
400092,1
400092,1
400092,1
400449,1
400449,1
400109,1
400109,1
400200,1
400458,1
400458,1
400282,0
400282,0
400282,0
400292,1
400292,1
400292,1
400422,1
400422,1
400422,1
400487,1
400487,1
400487,1
400059,0
400059,0
400059,0
400015,0
400015,0
400015,0
400015,0
400487,1
400487,1
400487,1
400277,0
400277,0
400127,1
400127,1
400127,1
400127,1
400026,1
400026,1
400234,0
400234,0
400357,1
400278,0
400278,0
400278,0
400278,0
400278,0
400015,0
400015,0
400015,0
400015,0
400307,1
400307,1
400307,1
400307,1
400031,1
400031,1
400258,1
400258,1
400247,1
400247,1
400298,0
400424,1
400424,1
400181,1
400181,1
400181,1
400055,0
400055,0
400055,0
400155,0
400155,0
400155,0
400384,1
400384,1
400384,1
400384,1
400442,1
400279,0
400057,0
400057,0
400270,1
400270,1
400204,1
400204,1
400278,0
400278,0
400278,0
400278,0
400278,0
400445,1
400055,0
400055,0
400055,0
400385,0
400385,0
400431,0
400431,0
400431,0
400431,0
400031,1
400031,1
400044,0
400044,0
400044,0
400418,1
400418,1
400063,1
400063,1
400063,1
400063,1
400336,0
400336,0
400336,0
400401,0
400401,0
400198,1
400198,1
400198,1
400154,0
400411,1
400411,1
400315,0
400315,0
400083,0
400083,0
400083,0
400145,0
400145,0
400145,0
400081,1
400081,1
400081,1
400030,1
400211,0
400211,0
400211,0
400211,0
400216,0
400216,0
400216,0
400216,0
400128,1
400135,0
400135,0
400135,0
400364,0
400364,0
400364,0
400364,0
400364,0
400010,1
400010,1
400010,1
400429,1
400282,0
400282,0
400282,0
400348,0
400348,0
400320,0
400320,0
400320,0
400239,0
400239,0
400366,0
400366,0
400466,1
400485,1
400485,1
400092,1
400092,1
400092,1
400092,1
400092,1
400341,1
400341,1
400341,1
400341,1
400352,1
400352,1
400352,1
400122,0
400122,0
400122,0
400122,0
400067,1
400067,1
400067,1
400455,1
400455,1
400455,1
400290,0
400290,0
400095,1
400095,1
400095,1
400095,1
400412,0
400412,0
400412,0
400124,1
400124,1
400095,1
400095,1
400095,1
400095,1
400465,1
400183,1
400183,1
400393,1
400393,1
400393,1
400447,1
400447,1
400447,1
400282,0
400282,0
400282,0
400324,0
400324,0
400210,0
400210,0
400210,0
400384,1
400384,1
400384,1
400384,1
400431,0
400431,0
400431,0
400431,0
400394,0
400061,1
400061,1
400408,0
400408,0
400408,0
400134,0
400134,0
400365,0
400365,0
400365,0
400043,1
400043,1
400384,1
400384,1
400384,1
400384,1
400325,0
400325,0
400260,1
400260,1
400260,1
400260,1
400383,1
400383,1
400383,1
400231,1
400231,1
400231,1
400278,0
400278,0
400278,0
400278,0
400278,0
400172,1
400172,1
400432,0
400432,0
400010,1
400010,1
400010,1
400467,1
400467,1
400467,1
400467,1
400461,1
400461,1
400170,1
400170,1
400488,1
400488,1
400284,0
400028,1
400028,1
400028,1
400028,1
400406,0
400406,0
400049,0
400049,0
400049,0
400392,1
400318,1
400318,1
400318,1
400011,1
400011,1
400387,0
400387,0
400196,1
400196,1
400196,1
400458,1
400458,1
400364,0
400364,0
400364,0
400364,0
400364,0
400179,1
400133,1
400133,1
400418,1
400418,1
400411,1
400411,1
400381,0
400381,0
400381,0
400086,0
400086,0
400086,0
400335,0
400335,0
400122,0
400122,0
400122,0
400122,0
400069,1
400069,1
400069,1
400168,0
400168,0
400440,1
400440,1
400364,0
400364,0
400364,0
400364,0
400364,0
400105,0
400105,0
400345,1
400345,1
400341,1
400341,1
400341,1
400341,1
400410,1
400146,1
400146,1
400212,0
400212,0
400009,0
400009,0
400038,0
400038,0
400292,1
400292,1
400292,1
400425,1
400425,1
400384,1
400384,1
400384,1
400384,1
400044,0
400044,0
400044,0
400254,0
400254,0
400176,0
400176,0
400176,0
400142,0
400142,0
400142,0
400420,0
400420,0
400321,0
400321,0
400228,1
400228,1
400066,1
400106,0
400106,0
400106,0
400106,0
400474,0
400055,0
400055,0
400055,0
400155,0
400155,0
400155,0
400093,0
400093,0
400093,0
400338,0
400399,1
400399,1
400211,0
400211,0
400211,0
400211,0
400229,1
400229,1
400056,0
400056,0
400022,0
400022,0
400022,0
400235,1
400390,0
400390,0
400390,0
400441,1
400441,1
400432,0
400432,0
400226,1
400226,1
400202,1
400202,1
400202,1
400202,1
400079,1
400169,1
400169,1
