"id_EXIST","lang","tweet","annotator_id","gender","age","ethnicity","education","country","label_task1_1","word_woman","word_women","word_men","word_girl","word_sex","word_bitch","word_fuck","word_love","word_peopl","word_gender","colloc_yes","colloc_no","all_pos","all_neg","tweet_sentiment","sadness","sent_min","disgust_max","gender_F","age_18-22","ethnicity_Middle Eastern","ethnicity_other","ethnicity_Multiracial","ethnicity_Black or African American","education_Bachelor’s degree","education_Doctorate","country_Algeria","country_Canada","country_Cyprus","country_Ireland","country_Israel","clustered_data$cluster","cluster2","cluster3","cluster4"
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_780","F","18-22","Hispano or Latino","High school degree or equivalent","Chile","YES",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_781","F","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_782","F","46+","White or Caucasian","Bachelor’s degree","New Zealand","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_783","M","18-22","Hispano or Latino","High school degree or equivalent","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_783","M","18-22","Hispano or Latino","High school degree or equivalent","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_783","M","18-22","Hispano or Latino","High school degree or equivalent","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_783","M","18-22","Hispano or Latino","High school degree or equivalent","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
400004,"en","@KolHue @OliverJia1014 lol gamergate the go to boogieman, maybe if the actual concerns brought up during gamergate were listened to and not ridiculed then all the people who are so scared of it wouldn't have been memed on so hard","Annotator_783","M","18-22","Hispano or Latino","High school degree or equivalent","Mexico","NO",0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.95,0,-0.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
