"id_EXIST","lang","tweet","annotator_id","gender","age","ethnicity","education","country","label_task1_1","word_woman","word_women","word_men","word_girl","word_sex","word_bitch","word_fuck","word_love","word_peopl","word_gender","colloc_yes","colloc_no","all_pos","all_neg","tweet_sentiment","sadness","sent_min","disgust_max"
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_391","F","18-22","White or Caucasian","High school degree or equivalent","Latvia","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_392","F","23-45","Black or African American","Bachelor’s degree","South Africa","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_393","M","18-22","White or Caucasian","High school degree or equivalent","Poland","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_394","M","23-45","Hispano or Latino","Bachelor’s degree","Mexico","NO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_395","M","46+","White or Caucasian","Bachelor’s degree","Israel","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200002,"en","Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","Annotator_396","F","46+","White or Caucasian","High school degree or equivalent","South Africa","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_397","F","18-22","White or Caucasian","High school degree or equivalent","Portugal","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_398","F","23-45","White or Caucasian","Master’s degree","Portugal","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_399","M","18-22","White or Caucasian","High school degree or equivalent","Poland","NO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_400","M","23-45","White or Caucasian","Master’s degree","Greece","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_401","M","46+","White or Caucasian","High school degree or equivalent","United Kingdom","NO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200003,"en","@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism","Annotator_402","F","46+","White or Caucasian","High school degree or equivalent","United States","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_409","F","18-22","White or Caucasian","Bachelor’s degree","Estonia","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_410","F","23-45","White or Caucasian","Master’s degree","Romania","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_411","M","18-22","White or Caucasian","High school degree or equivalent","Slovenia","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_412","M","23-45","White or Caucasian","Bachelor’s degree","Greece","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_413","M","46+","White or Caucasian","Doctorate","Spain","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200006,"en","According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","Annotator_414","F","46+","White or Caucasian","High school degree or equivalent","United Kingdom","YES",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,-0.35,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_415","F","18-22","White or Caucasian","High school degree or equivalent","Slovenia","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_416","F","23-45","Multiracial","Bachelor’s degree","Netherlands","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_417","M","18-22","White or Caucasian","High school degree or equivalent","United Kingdom","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_418","M","23-45","Black or African American","Master’s degree","South Africa","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_340","M","46+","White or Caucasian","Bachelor’s degree","Venezuela","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200007,"en","So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","Annotator_419","F","46+","White or Caucasian","Less than high school diploma","United Kingdom","YES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,-0.5,0
200008,"en","New to the shelves this week - looking forward to reading these books @malorieblackman @jenlynnbarnes  @EverydaySexism #readingforpleasure #newbooks https://t.co/Q3IfmlSBCB","Annotator_420","F","18-22","White or Caucasian","High school degree or equivalent","Poland","NO",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,1.5,0
200008,"en","New to the shelves this week - looking forward to reading these books @malorieblackman @jenlynnbarnes  @EverydaySexism #readingforpleasure #newbooks https://t.co/Q3IfmlSBCB","Annotator_296","F","23-45","White or Caucasian","Master’s degree","Portugal","NO",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,1.5,0
